source,target,weight
Baby,Books,7
Baby,Water Sports,7
Baby,CDs,7
Baby,Golf Shoes,7
Baby,Indoor/Outdoor Games,7
Baby,DVDs,7
Baby,Toys,4
Baby,Music,4
Baby,Women's Golf Clubs,3
Baby,Health and Beauty,4
Baby,Garden,4
Baby,Golf Gloves,7
Baby,Pet Supplies,4
Baby,Fishing,7
Fishing,Hockey,22
Fishing,Video Games,4
Fishing,Men's Golf Clubs,6
Fishing,Golf Bags & Carts,6
Fishing,Golf Apparel,23
Fishing,Water Sports,23
Fishing,Books,7
Fishing,CDs,7
Fishing,Golf Shoes,22
Fishing,Indoor/Outdoor Games,23
Fishing,DVDs,7
Fishing,Toys,4
Fishing,Music,4
Fishing,Women's Golf Clubs,6
Fishing,Health and Beauty,4
Fishing,Garden,4
Fishing,Golf Gloves,23
Fishing,Pet Supplies,4
Books,Hockey,7
Books,Video Games,4
Books,Men's Golf Clubs,3
Books,Golf Bags & Carts,3
Books,Golf Apparel,7
Books,Water Sports,7
Books,CDs,7
Books,Golf Shoes,7
Books,Indoor/Outdoor Games,7
Books,DVDs,7
Books,Toys,4
Books,Music,4
Books,Women's Golf Clubs,3
Books,Health and Beauty,4
Books,Garden,4
Books,Golf Gloves,7
Books,Pet Supplies,4
DVDs,Hockey,7
DVDs,Video Games,4
DVDs,Men's Golf Clubs,3
DVDs,Golf Bags & Carts,3
DVDs,Golf Apparel,7
DVDs,Water Sports,7
DVDs,CDs,7
DVDs,Golf Shoes,7
DVDs,Indoor/Outdoor Games,7
DVDs,Toys,4
DVDs,Music,4
DVDs,Women's Golf Clubs,3
DVDs,Health and Beauty,4
DVDs,Garden,4
DVDs,Golf Gloves,7
DVDs,Pet Supplies,4
CDs,Hockey,7
CDs,Video Games,4
CDs,Men's Golf Clubs,3
CDs,Golf Bags & Carts,3
CDs,Golf Apparel,7
CDs,Water Sports,7
CDs,Golf Shoes,7
CDs,Indoor/Outdoor Games,7
CDs,Toys,4
CDs,Music,4
CDs,Women's Golf Clubs,3
CDs,Health and Beauty,4
CDs,Garden,4
CDs,Golf Gloves,7
CDs,Pet Supplies,4
Garden,Hockey,4
Garden,Video Games,4
Garden,Golf Apparel,4
Garden,Water Sports,4
Garden,Golf Shoes,4
Garden,Indoor/Outdoor Games,4
Garden,Toys,4
Garden,Music,4
Garden,Health and Beauty,4
Garden,Golf Gloves,4
Garden,Pet Supplies,4
Hockey,Video Games,4
Hockey,Men's Golf Clubs,6
Hockey,Golf Bags & Carts,6
Hockey,Golf Apparel,22
Hockey,Water Sports,22
Hockey,Golf Shoes,22
Hockey,Indoor/Outdoor Games,22
Hockey,Toys,4
Hockey,Music,4
Hockey,Women's Golf Clubs,6
Hockey,Health and Beauty,4
Hockey,Golf Gloves,22
Hockey,Pet Supplies,4
Pet Supplies,Video Games,4
Pet Supplies,Golf Apparel,4
Pet Supplies,Water Sports,4
Pet Supplies,Golf Shoes,4
Pet Supplies,Indoor/Outdoor Games,4
Pet Supplies,Toys,4
Pet Supplies,Music,4
Pet Supplies,Health and Beauty,4
Pet Supplies,Golf Gloves,4
Health and Beauty,Video Games,4
Health and Beauty,Golf Apparel,4
Health and Beauty,Water Sports,4
Health and Beauty,Golf Shoes,4
Health and Beauty,Indoor/Outdoor Games,4
Health and Beauty,Toys,4
Health and Beauty,Music,4
Health and Beauty,Golf Gloves,4
Music,Video Games,4
Music,Golf Apparel,4
Music,Water Sports,4
Music,Golf Shoes,4
Music,Indoor/Outdoor Games,4
Music,Toys,4
Music,Golf Gloves,4
Video Games,Golf Apparel,4
Video Games,Water Sports,4
Video Games,Golf Shoes,4
Video Games,Indoor/Outdoor Games,4
Video Games,Toys,4
Video Games,Golf Gloves,4
Golf Gloves,Men's Golf Clubs,6
Golf Gloves,Golf Bags & Carts,6
Golf Gloves,Golf Apparel,23
Golf Gloves,Water Sports,23
Golf Gloves,Golf Shoes,22
Golf Gloves,Indoor/Outdoor Games,23
Golf Gloves,Toys,4
Golf Gloves,Women's Golf Clubs,6
Golf Bags & Carts,Men's Golf Clubs,6
Golf Bags & Carts,Golf Apparel,6
Golf Bags & Carts,Water Sports,6
Golf Bags & Carts,Golf Shoes,6
Golf Bags & Carts,Indoor/Outdoor Games,6
Golf Bags & Carts,Women's Golf Clubs,6
Golf Shoes,Men's Golf Clubs,6
Golf Shoes,Golf Apparel,22
Golf Shoes,Water Sports,22
Golf Shoes,Indoor/Outdoor Games,22
Golf Shoes,Toys,4
Golf Shoes,Women's Golf Clubs,6
Golf Apparel,Men's Golf Clubs,6
Golf Apparel,Water Sports,23
Golf Apparel,Indoor/Outdoor Games,23
Golf Apparel,Toys,4
Golf Apparel,Women's Golf Clubs,6
Women's Golf Clubs,Men's Golf Clubs,6
Women's Golf Clubs,Water Sports,6
Women's Golf Clubs,Indoor/Outdoor Games,6
Men's Golf Clubs,Water Sports,6
Men's Golf Clubs,Indoor/Outdoor Games,6
Toys,Water Sports,4
Toys,Indoor/Outdoor Games,4
Water Sports,Indoor/Outdoor Games,23
